,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide
0,"$35,000,000 (estimated)","$251,409,241","$40,489,746","$411,569,241"
1,"$80,000,000 (estimated)","$162,924,631","$45,687,711","$266,915,287"
2,"$100,000,000 (estimated)","$184,069,126","$52,784,433","$336,567,158"
3,"$125,000,000 (estimated)","$107,353,792","$42,872,605","$238,235,719"
4,"$150,000,000 (estimated)","$206,863,479","$48,745,440","$373,672,993"
5,"$185,000,000 (estimated)","$534,987,076","$158,411,483","$1,006,102,277"
6,"$250,000,000 (estimated)","$448,149,584","$160,887,295","$1,081,153,097"
7,"$250,000,000 (estimated)","$330,360,194","$166,007,347","$873,637,528"
8,"$300,000,000 (estimated)","$229,024,295","$93,842,239","$657,926,987"
9,"$200,000,000 (estimated)","$369,345,583","$134,008,624","$770,836,163"
