index,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time
1641,Star Wars Ep. VII: The Force Awakens,2015,183740100,306000000,936662225,1116648995,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Adventure,1.0,136.0
1637,Finding Dory,2015,189810100,200000000,486295561,534919632,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,103.0
1639,Captain America: Civil War,2015,202820100,250000000,408084349,731985064,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,146.0
1608,The Secret Life of Pets,2015,190180100,75000000,368384330,518383092,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0
1634,The Jungle Book,2015,200440100,175000000,364001123,598853424,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0.0,105.0
1595,Deadpool,2015,142380100,58000000,363070709,437954884,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,107.0
1627,Zootopia,2015,218730100,150000000,341268248,678436100,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,108.0
1638,Batman v Superman: Dawn of Justice,2015,196380100,250000000,330360194,537140087,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,151.0
1632,The Hunger Games: Mockingjay - Part 2,2015,178300100,160000000,281723902,367262885,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1.0,136.0
1616,The Martian,2015,205110100,108000000,228433663,426837780,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,130.0
